longitude,latitude,system,turbidity,B2,B3,B4,dwl,ndti
-96.15783,33.64745,bonham,5.11,1295.5,1330,1200.5,546.66766357421875,-0.051175656984785614
-96.15778,33.64745,bonham,5.1,1291,1328.5,1203.5,548.69195556640625,-0.049368088467614535
-96.15772,33.64745,bonham,5.11,1312.5,1314.5,1211,542.7080078125,-0.04098198376559097
-96.15767,33.64745,bonham,5.11,1312.5,1314.5,1211,542.7080078125,-0.04098198376559097
-96.15762,33.64745,bonham,5.1,1344.5,1326,1223.5,539.068115234375,-0.04020396156109041
-96.15755,33.64745,bonham,5.08,1307,1334,1231.5,553.4466552734375,-0.0399532254921068
-96.1575,33.64746,bonham,5.08,1307,1334,1231.5,553.4466552734375,-0.0399532254921068
-96.15744,33.64746,bonham,5.07,1309.5,1329,1231,551.231689453125,-0.03828125
-96.15739,33.64746,bonham,5.05,1309.5,1329,1231,551.231689453125,-0.03828125
-96.15733,33.64746,bonham,5.03,1323,1328,1231,547.5457763671875,-0.037905431809300505
-96.15727,33.64746,bonham,5.05,1319.5,1328.5,1232.5,549.0787353515625,-0.037485357282311595
-96.15721,33.64746,bonham,5.05,1319.5,1328.5,1232.5,549.0787353515625,-0.037485357282311595
-96.15715,33.64747,bonham,5.04,1315.5,1332.5,1228.5,548.88232421875,-0.04060913705583756
-96.1571,33.64747,bonham,5.03,1312,1338,1224,549.07183837890625,-0.04449648711943794
-96.15704,33.64748,bonham,5.04,1306.5,1335.5,1222.5,549.72186279296875,-0.044175136825645035
-96.15697,33.64748,bonham,5.06,1316.5,1346.5,1219.5,547.541748046875,-0.0494933749025721
-96.15691,33.64748,bonham,5.06,1319.5,1343,1220.5,546.56439208984375,-0.04778622976399454
-96.15685,33.64749,bonham,5.03,1319.5,1343,1220.5,546.56439208984375,-0.04778622976399454
-96.15679,33.6475,bonham,5.04,1314.5,1333,1223.5,547.57037353515625,-0.042831996870721686
-96.15673,33.6475,bonham,5.05,1303.5,1329.5,1227,551.15264892578125,-0.04009387834930569
-96.15667,33.64751,bonham,5.06,1303.5,1329.5,1227,551.15264892578125,-0.04009387834930569
